article|word_de
|Amerika
|Asien
|Bayern
|Berlin
|China
|Deutschland
das|Abendessen
das|Abenteuer
das|Alter
das|Amt
das|Angebot
das|Arbeitsklima
das|Argument
das|Atmen
das|Atom
das|Auftreten
das|Auge
das|Ausland
das|Auto
das|Baby
das|Bad
das|Band
das|Bein
das|Beispiel
das|Bett
das|BGB
das|Bier
das|Bild
das|Blatt
das|Blut
das|Boot
das|Brot
das|Brüderchen
das|Buch
das|Budget
das|Büro
das|Café
das|Chaos
das|Datum
das|Denken
das|Detail
das|Ding
das|Dokument
das|Dorf
das|Ei
das|Einkommen
das|Elektron
das|Element
das|Ende
das|Englisch
das|Enzym
das|Ereignis
das|Ergebnis
das|Essen
das|Europa
das|Event
das|Experiment
das|Fahrrad
das|Fahrzeug
das|Feld
das|Fenster
das|Ferienhaus
das|Fernsehen
das|Fest
das|Festival
das|Feuer
das|Fischen
das|Flugzeug
das|Food
das|Foto
das|Frankreich
das|Frühstück
das|Fundament
das|Gas
das|Gebäck
das|Gebäude
das|Gebiet
das|Gefühl
das|Gegenteil
das|Gehalt
das|Geheimnis
das|Gehen
das|Gehirn
das|Geld
das|Gemälde
das|Gemüse
das|Genie
das|Gerät
das|Gericht
das|Geschäft
das|Geschenk
das|Gesetz
das|Gesicht
das|Gespräch
das|Getreide
das|Glas
das|Gleichgewicht
das|Glück
das|Gras
das|Griechenland
das|Griechisch
das|Großbritannien
das|Gut
das|Haar
das|Handy
das|Haus
das|Hemd
das|Hereinkommen
das|Herz
das|Hobby
das|Hochhaus
das|Holz
das|Hotel
das|Innere
das|Institut
das|Instrument
das|Interesse
das|Internet
das|Interview
das|Ion
das|Italien
das|Jahr
das|Jahrhundert
das|Jahrzehnt
das|Job
das|Kabel
das|Kapitel
das|Kilo
das|Kilogramm
das|Kind
das|Kino
das|Kissen
das|Klavierspielen
das|Kleid
das|Knie
das|Kochbuch
das|Kontra
das|Konzept
das|Konzert
das|Kraftwerk
das|Krankenhaus
das|Kriterium
das|Labor
das|Lächeln
das|Lachen
das|Lager
das|Laken
das|Land
das|Laub
das|Leben
das|Lebensmittel
das|Leid
das|Lernen
das|Licht
das|Lied
das|Mädchen
das|Mal
das|Malen
das|Maß
das|Material
das|Maul
das|Medikament
das|Medium
das|Meer
das|Meeting
das|Meisterwerk
das|Merkmal
das|Messer
das|Metall
das|Missverständnis
das|Mitglied
das|Mittagessen
das|Mittel
das|Möbel
das|Modell
das|Molekül
das|Morgen
das|Museum
das|Netz
das|Objekt
das|Obst
das|Ohr
das|Okay
das|Opfer
das|Organ
das|Paar
das|Paket
das|Papier
das|Paris
das|Park
das|Parken
das|Parlament
das|Personal
das|Pferd
das|Picknick
das|Plakat
das|Plastik
das|Podest
das|Potenzial
das|Prinzip
das|Pro
das|Problem
das|Produkt
das|Programm
das|Programmieren
das|Projekt
das|Protein
das|Prozent
das|Publikum
das|Radio
das|Rätsel
das|Raum
das|Recht
das|Regal
das|Regen
das|Reich
das|Reiseziel
das|Rennen
das|Restaurant
das|Rezept
das|Risiko
das|Russisch
das|Russland
das|Salz
das|Sandkasten
das|Schiff
das|Schild
das|Schlimmste
das|Schloss
das|Schmalz
das|Schweigen
das|See
das|Seil
das|Signal
das|Skifahren
das|Sofa
das|Sommersemester
das|Sonnenbad
das|Sonnenlicht
das|Spiel
das|Spielen
das|Spielzeug
das|Stadion
das|Stadtzentrum
das|Steuer
das|Stimmrecht
das|Stromnetz
das|Stück
das|Studium
das|Syrien
das|System
das|T-Shirt
das|Tal
das|Talent
das|Tanzen
das|Team
das|Teil
das|Teilchen
das|Telefon
das|Theater
das|Thema
das|Ticket
das|Tier
das|Timing
das|Tor
das|Training
das|Trauma
das|Treffen
das|Ufer
das|Unermessliche
das|Ungewisse
das|Ungeziefer
das|Unglück
das|Unheil
das|Unternehmen
das|Urteil
das|Verfahren
das|Verhalten
das|Verhältnis
das|Versprechen
das|Verständnis
das|Vertrauen
das|Volk
das|Wachstum
das|Warnschild
das|Wasser
das|Werk
das|Werkzeug
das|Wesen
das|Westeuropa
das|Wetter
das|Wildtier
das|Wintersemester
das|Wissen
das|Wochenende
das|Wohnzimmer
das|Wort
das|Zeichen
das|Zeichenbrett
das|Zelt
das|Zentrum
das|Ziel
das|Zimmer
der|Abend
der|Abenteuerfilm
der|Abenteurer
der|Absatz
der|Abschied
der|Abschluss
der|Abschnitt
der|Abstand
der|Alarm
der|Alkohol
der|Alltag
der|Anfang
der|Anfänger
der|Anführer
der|Angriff
der|Anruf
der|Ansatz
der|Anschlag
der|Anspruch
der|Anteil
der|Antrag
der|Anzug
der|Apfel
der|April
der|Arbeiter
der|Arbeitsplatz
der|Arm
der|Artikel
der|Arzt
der|Aspekt
der|Aufbau
der|Aufruhr
der|Aufsatz
der|Aufstieg
der|Auftrag
der|Augenblick
der|Ausdruck
der|Ausflug
der|Ausgang
der|Austausch
der|Autor
der|Bahnhof
der|Balkon
der|Ball
der|Basar
der|Bau
der|Bauer
der|Baum
der|Beginn
der|Begriff
der|Beifall
der|Beitrag
der|Bereich
der|Berg
der|Bericht
der|Berliner
der|Beruf
der|Besitzer
der|Beste
der|Bestseller
der|Besuch
der|Besucher
der|Betrieb
der|Bezug
der|Bildschirm
der|Blick
der|Blog
der|Blumenladen
der|Boden
der|Borschtsch
der|Boxer
der|Brief
der|Briefkasten
der|Bruder
der|Brunnen
der|Bund
der|Bürger
der|Bürgermeister
der|Bus
der|Champion
der|Chef
der|Chor
der|Club
der|Computer
der|Dank
der|Demonstrant
der|Deutsche
der|Dezember
der|Diamant
der|Dienst
der|Dienstag
der|Direktor
der|Doktor
der|Dokumentarfilm
der|Dollar
der|Dom
der|Donnerstag
der|Druck
der|Effekt
der|Ehrgeiz
der|Einblick
der|Eindruck
der|Einfluss
der|Einsatz
der|Einspruch
der|Eintritt
der|Einwand
der|Eismaschineneinsatz
der|Empfang
der|Enthusiasmus
der|Entschluss
der|Erfolg
der|Espresso
der|Esstisch
der|Euro
der|Experte
der|Faden
der|Fahrer
der|Fakt
der|Faktor
der|Fall
der|Fan
der|Februar
der|Fehler
der|Fernseher
der|Feueralarm
der|Film
der|Finger
der|Fleck
der|Flüchtling
der|Flug
der|Flughafen
der|Fluss
der|Flyer
der|Fokus
der|Forscher
der|Fortschritt
der|Franken
der|Freitag
der|Freund
der|Frieden
der|Frühling
der|Fuß
der|Fußball
der|Gang
der|Garten
der|Gast
der|Gebirgssee
der|Geburtstag
der|Gedanke
der|Gefallen
der|Gegensatz
der|Gegenstand
der|Gegner
der|Geist
der|Geschmack
der|Gesetzentwurf
der|Gewinn
der|Gewinner
der|Gipfel
der|Gleichschritt
der|Gott
der|Grad
der|Granit
der|Grund
der|Hafen
der|Hals
der|Handel
der|Handelspartner
der|Handwerker
der|Hauptpreis
der|Haushalt
der|Heiler
der|Held
der|Helfer
der|Herbst
der|Herd
der|Herr
der|Himmel
der|Hintergrund
der|Hinweis
der|Hof
der|Hügel
der|Hund
der|Hunger
der|Hut
der|Inhalt
der|Januar
der|Job
der|Journalist
der|Jude
der|Juli
der|Junge
der|Juni
der|Kaffee
der|Kamin
der|Kampf
der|Kandidat
der|Kapitän
der|Käse
der|Keller
der|Kern
der|Khan
der|Kilometer
der|Knopf
der|Koffer
der|Kollege
der|Konflikt
der|König
der|Kontakt
der|Konzern
der|Kopf
der|Kopfschmerz
der|Körper
der|Kram
der|Kredit
der|Kreis
der|Krieg
der|Kritiker
der|Kuchen
der|Küchentisch
der|Kunde
der|Künstler
der|Kurs
der|Laden
der|Laptop
der|Lauf
der|Lautsprecher
der|Lehrer
der|Lehrstuhl
der|Leiter
der|Leser
der|Lichtschalter
der|Lieblingsmonat
der|Lieblingstag
der|Lohn
der|Mai
der|Mangel
der|Mann
der|Mantel
der|Marathon
der|Markt
der|März
der|Max
der|Mensch
der|Meter
der|Milliliter
der|Ministerpräsident
der|Mitarbeiter
der|Mittwoch
der|Moment
der|Monat
der|Montag
der|Morgen
der|Motor
der|Müller
der|Mund
der|Mutige
der|Nachbar
der|Nachmittag
der|Name
der|Nebel
der|Nerv
der|Norden
der|November
der|Oktober
der|Ort
der|Osten
der|Papa
der|Park
der|Parkplatz
der|Partner
der|Patient
der|Pilz
der|Plan
der|Platz
der|Politiker
der|Polizist
der|Präsident
der|Preis
der|Professor
der|Prozess
der|Pullover
der|Punkt
der|Punktestand
der|Rabatt
der|Rahmen
der|Rand
der|Rat
der|Rauch
der|Raum
der|Redner
der|Regen
der|Reifen
der|Reporter
der|Respekt
der|Rest
der|Rohstoff
der|Roller
der|Roman
der|Rücken
der|Rutsch
der|Saal
der|Samstag
der|Sand
der|Sänger
der|Satz
der|Sauerstoff
der|Schaden
der|Schal
der|Schatten
der|Schluss
der|Schlüssel
der|Schmerz
der|Schmuck
der|Schnee
der|Schnitt
der|Schreibtisch
der|Schritt
der|Schuh
der|Schüler
der|Schutz
der|Schweizer
der|See
der|September
der|Service
der|Sex
der|Sieg
der|Sinn
der|Sohn
der|Soldat
der|Sommer
der|Sonnenschein
der|Sonnenuntergang
der|Sonntag
der|Spaß
der|Spaziergang
der|Spiegel
der|Spieler
der|Sport
der|Sprachkurs
der|Sprecher
der|Staat
der|Stadtpark
der|Stahl
der|Stahlträger
der|Stamm
der|Stand
der|Staub
der|Stein
der|Stern
der|Stillstand
der|Stoff
der|Strand
der|Streit
der|Stress
der|Strom
der|Student
der|Stuhl
der|Sturm
der|Sturz
der|Süden
der|Tag
der|Takt
der|Täter
der|Tee
der|Teilnehmer
der|Teller
der|Termin
der|Test
der|Text
der|Tipp
der|Tisch
der|Titel
der|Tod
der|Ton
der|Topf
der|Tourist
der|Trainer
der|Traum
der|Trend
der|Turm
der|Typ
der|Umbau
der|Umgang
der|Umschlag
der|Umstand
der|Unfall
der|Unterricht
der|Unterschied
der|Urlaub
der|Vater
der|Ventilator
der|Verdacht
der|Verdienst
der|Verein
der|Vergleich
der|Verkäufer
der|Verkehr
der|Verlag
der|Verlauf
der|Verlust
der|Versicherer
der|Verstand
der|Versuch
der|Vertrag
der|Vertreter
der|Vogel
der|Vorfall
der|Vorgesetzte
der|Vorrat
der|Vorschlag
der|Vorteil
der|Wagen
der|Wald
der|Wecker
der|Weg
der|Wein
der|Weinbau
der|Wert
der|Westen
der|Wettbewerb
der|Widerstand
der|Wille
der|Wind
der|Winter
der|Winterreifen
der|Wissenschaftler
der|Witz
der|Wunsch
der|Wurm
der|Zaun
der|Zeitpunkt
der|Zentimeter
der|Zettel
der|Zeuge
der|Zucker
der|Zug
der|Zugang
der|Zugriff
der|Zusammenhang
der|Zuschauer
der|Zustand
der|Zweck
der|Zweifel
die|Abbildung
die|Abgeordnete
die|Ablenkung
die|Abmachung
die|Absätze
die|Absicht
die|Abteilung
die|Ader
die|AfD
die|Ahnung
die|Aktivität
die|Alternative
die|Altstadt
die|Aluminiumfolie
die|Ampel
die|Analyse
die|Anforderung
die|Angabe
die|Angelegenheit
die|Angst
die|Annahme
die|Antwort
die|Anweisung
die|Anwendung
die|Anzahl
die|App
die|Appinstallation
die|Arbeit
die|Argumentation
die|Armut
die|Art
die|Atmosphäre
die|Aufgabe
die|Aufnahme
die|Aufregung
die|Ausnahme
die|Ausrede
die|Aussage
die|Ausstellung
die|Auswahl
die|Auswirkung
die|Autobahn
die|Bäche
die|Bahn
die|Bakterie
die|Band
die|Bank
die|Basis
die|Batterie
die|Baumwolle
die|Bedeutung
die|Bedingung
die|Behauptung
die|Behörde
die|Berufsausbildung
die|Bescheinigung
die|Beschreibung
die|Beschwerde
die|Besprechung
die|Bestellung
die|Bestimmung
die|Besucherzahl
die|Bevölkerung
die|Bewegung
die|Beweise
die|Bezahlung
die|Beziehung
die|Bildung
die|Bindung
die|Birne
die|Blätter
die|Blume
die|Bodenschätze
die|Börse
die|Botschaft
die|Box
die|Briefmarke
die|Brille
die|Brise
die|Brücke
die|Bücher
die|Bühne
die|Bundesregierung
die|CDU
die|Chance
die|Chemie
die|Dame
die|Darstellung
die|Datenauswertung
die|Datenbank
die|DDR
die|Debatte
die|Definition
die|Demokratie
die|Details
die|Diagnose
die|Diät
die|Dinge
die|Diskussion
die|Dunkelheit
die|E-Mail
die|Ebene
die|Echtzeit
die|Ecke
die|Ehrlichkeit
die|Eigenschaft
die|Einführung
die|Einheit
die|Einladung
die|Einrichtung
die|Eltern
die|Energie
die|Entdeckung
die|Ente
die|Entschädigung
die|Entscheidung
die|Entschuldigung
die|Entwicklung
die|Enzyklopädie
die|Erde
die|Erfahrung
die|Erfüllung
die|Erinnerung
die|Erkältung
die|Erkenntnis
die|Erklärung
die|Erlaubnis
die|Ernte
die|Erwartung
die|EU
die|Expedition
die|Fabrik
die|Fabrikhalle
die|Fachkraft
die|Fähigkeit
die|Fahrt
die|Familie
die|Farbe
die|Feier
die|Ferse
die|Feuerwehr
die|Figur
die|Filiale
die|Finanzierung
die|Firma
die|Fläche
die|Flasche
die|Folge
die|Folie
die|Forderung
die|Förderung
die|Form
die|Formel
die|Forschung
die|Frage
die|Frau
die|Freiheit
die|Freizeit
die|Freude
die|Frucht
die|Führung
die|Funktion
die|Füße
die|Garage
die|Gasse
die|Gäste
die|Gebiete
die|Geduld
die|Gefahr
die|Gegend
die|Gelegenheit
die|Gemeinde
die|Genehmigung
die|Generation
die|Gerechtigkeit
die|Geschichte
die|Geschwindigkeit
die|Gesellschaft
die|Gesetze
die|Geste
die|Gewalt
die|Gitarre
die|Gleichung
die|Goldmedaille
die|Grafik
die|Grenze
die|Größe
die|Großmutter
die|Grundlage
die|Grüne
die|Gruppe
die|Hälfte
die|Haltestelle
die|Hand
die|Handlung
die|Handschuhe
die|Hauptstadt
die|Hausaufgabe
die|Haut
die|Heimat
die|Herausforderung
die|Hilfe
die|Hinweise
die|Hitze
die|Hoffnung
die|Höhe
die|Hunde
die|Idee
die|Inflation
die|Information
die|Innenstadt
die|Insel
die|Integration
die|Investition
die|IT-Ausbildung
die|Jacke
die|Jahre
die|Jobsuche
die|Jugendliche
die|Jury
die|Kamera
die|Kapazität
die|Karotte
die|Karriere
die|Karte
die|Kasse
die|Kategorie
die|Katze
die|Kenntnis
die|KI
die|Kindheit
die|Kirche
die|Kiste
die|Klage
die|Klasse
die|Kleidung
die|Kommunikation
die|Komponente
die|Konferenz
die|Konsequenz
die|Kontrolle
die|Konzentration
die|Kosten
die|Kraft
die|Krankheit
die|Krawatte
die|Kreativität
die|Kreuzung
die|Krise
die|Kritik
die|Küche
die|Kultur
die|Kunst
die|Ladung
die|Lage
die|Lampe
die|Landschaft
die|Länge
die|Last
die|Laune
die|Lehrerin
die|Leistung
die|Leiter
die|Leitung
die|Liebe
die|Lieferung
die|Linie
die|Liste
die|Literatur
die|Lösung
die|Lotterie
die|Luft
die|Lust
die|Macht
die|Mama
die|Mannschaft
die|Maria
die|Mark
die|Maschine
die|Massage
die|Masse
die|Maßnahme
die|Materie
die|Mathe
die|Mathematik
die|Mauer
die|Medizin
die|Mehrheit
die|Meinung
die|Menge
die|Metapher
die|Methode
die|Milliarde
die|Million
die|Minute
die|Mitte
die|Mitternacht
die|Möglichkeit
die|Montage
die|Mühe
die|Musik
die|Musikerin
die|Mutter
die|Muttersprache
die|Mythologie
die|Nachfrage
die|Nachlässigkeit
die|Nachricht
die|Nacht
die|Nachtschicht
die|Nähe
die|Nase
die|Natur
die|Neuigkeit
die|Niederlage
die|Norm
die|Notiz
die|Notlage
die|Nummer
die|Oberfläche
die|Oma
die|Option
die|Ordnung
die|Organisation
die|Partei
die|Party
die|Pause
die|Person
die|Personalabteilung
die|Pflanze
die|Pflicht
die|Phase
die|Planung
die|Politik
die|Polizei
die|Position
die|Post
die|Präsentation
die|Praxis
die|Preiserhöhung
die|Priorität
die|Probleme
die|Produkte
die|Produktion
die|Prüfung
die|Punkte
die|Pünktlichkeit
die|Qualität
die|Quelle
die|Reaktion
die|Realität
die|Rechnung
die|Rede
die|Reform
die|Regel
die|Regeln
die|Regelung
die|Regierung
die|Region
die|Regung
die|Reihe
die|Reihenfolge
die|Reinigung
die|Reise
die|Religionswissenschaftslehrerin
die|Ressource
die|Resultate
die|Rezension
die|Richtung
die|Rolle
die|Romane
die|Rückmeldung
die|Ruhe
die|Runde
die|Sache
die|Saison
die|Sammlung
die|Sängerin
die|Sauna
die|Scheibe
die|Scheiße
die|Schicht
die|Schildkröte
die|Schlacht
die|Schlange
die|Schokolade
die|Schraube
die|Schuhe
die|Schuld
die|Schule
die|Schulter
die|Schulung
die|Schweiz
die|Schwelle
die|Schwester
die|Schwierigkeit
die|Seite
die|Sekunde
die|Sicherheit
die|Sicht
die|Situation
die|Sitzung
die|Software
die|Sonne
die|Sorge
die|Sozialleistung
die|Spannung
die|SPD
die|Spiegelfläche
die|Spitze
die|Spitzenlast
die|Sprache
die|Spritze
die|Spur
die|Stadt
die|Statistik
die|Statue
die|Stelle
die|Steuer
die|Stille
die|Stimme
die|Straße
die|Strategie
die|Strecke
die|Struktur
die|Studie
die|Stunde
die|Substanz
die|Suche
die|Summe
die|Szene
die|Tabelle
die|Tante
die|Tasche
die|Tasse
die|Tat
die|Tätigkeit
die|Tatsache
die|Täuschung
die|Technik
die|Technologie
die|Telefonnummer
die|Temperatur
die|Theorie
die|Tochter
die|Todesursache
die|Tradition
die|Transparenz
die|Treppe
die|Trommel
die|Tür
die|Türkei
die|Türklinke
die|Uhr
die|Umfrage
die|Umgebung
die|Umsatzentwicklung
die|Umsetzung
die|Umwelt
die|Uni
die|Union
die|Universität
die|Unschuld
die|Unterlage
die|Unterstützung
die|Untersuchung
die|Ursache
die|USA
die|Vase
die|Veränderung
die|Veranstaltung
die|Verantwortung
die|Verbindung
die|Verfügung
die|Vergangenheit
die|Verhandlung
die|Version
die|Verteilung
die|Verwendung
die|Verzögerung
die|Vielfalt
die|Voraussetzung
die|Vorlesung
die|Vorschrift
die|Vorstellung
die|Vorwarnung
die|VWL
die|Waffe
die|Wahl
die|Wahrheit
die|Wahrscheinlichkeit
die|Währung
die|Wand
die|Ware
die|Wartung
die|Weile
die|Weise
die|Welle
die|Welt
die|Weltsprache
die|Wendung
die|Wiese
die|Windel
die|Wirklichkeit
die|Wirkung
die|Wirtschaft
die|Wissenschaft
die|Woche
die|Wohnung
die|Wolke
die|Wörter
die|Zahl
die|Zeit
die|Zeitung
die|Zelle
die|Zigarette
die|Zukunft
die|Zusammenarbeit
die|Zustimmung