|part_of_speech|word_de|sentence_de|word_en
3080|adj|zugehörig|Das ist der zugehörige Schlüssel.|belonging, corresponding
3087|adj|permanent|Das Problem ist permanent.|permanent
3106|adj|kinetisch|Kinetische Energie beeinflusst die Bewegung.|kinetic
3115|adj|langweilig|Dieses Buch ist sehr langweilig.|boring
3123|die|die Linke|Die Linke hat die Wahl gewonnen.|left-wing party, Left Party
3127|adj|einig|Wir sind uns einig.|agreed
3132|der|der Österreicher|Der Österreicher spricht Deutsch und Englisch.|Austrian
3140|das|das Eisen|Das Eisen ist schwer und rostig.|iron
3142|die|die Besonderheit|Die Besonderheit dieser Stadt ist ihre Architektur.|idiosyncracy, (special) feature, unique characteristic
3146|adj|cool|Diese Idee ist cool.|cool
3150|der|der Irak|Irak liegt im Nahen Osten.|Iraq
3151|adj|virtuell|Die virtuelle Realität wird immer realistischer.|virtual
3159|der|der Besitz|Der Besitz des Hauses ist umstritten.|property, possession
3161|der|der Gläubiger|Der Gläubiger wartet auf die Rückzahlung.|creditor, believer
3168|adj|effizient|Die Methode zur Datenauswertung ist effizient.|efficient
3175|verb|angucken, guckt an, guckte an, hat angeguckt (ankucken)|Er guckt den Film an.|to look
3179|verb|isolieren, isoliert, isolierte, hat isoliert|Der Ingenieur isoliert die Wand gegen Lärm.|to isolate, insulate
3180|der|der Mörder|Der Mörder wurde von der Polizei gefasst.|murderer
3183|adj|problematisch|Das Problem ist komplex.|problematic
3198|adv|hinweg|Er ist schon darüber hinweg.|(be) over, for (many years)
3205|interj|ha|Ha, das ist wirklich lustig!|ha
3218|adj|intelligent|Der Schüler ist intelligent und kreativ.|intelligent
3222|der|der Suizid|Der Suizid des Patienten war tragisch.|suicide
3234|verb|aussuchen, sucht aus, suchte aus, hat ausgesucht|Er sucht das beste Angebot aus.|to choose
3252|verb|strecken, streckt, streckte, hat gestreckt|Er streckt die Arme in die Luft.|to stretch
3255|die|die Ferne|Die Ferne des Horizonts ist faszinierend.|distance
3260|adj|neutral|Das politische System ist neutral.|neutral
3266|verb|umwandeln, wandelt um, wandelte um, hat umgewandelt|Der Prozess wandelt die Energie um.|to convert, change
3276|das|das Regal|Das Regal ist voll mit Büchern.|shelf
3277|der|der Rucksack|Er trägt einen schweren Rucksack.|rucksack, backpack
3288|die|die Fettsäure|Die Fettsäure Omega-3 ist gesund.|fatty acid
3297|adj|radioaktiv|Das radioaktive Material ist gefährlich.|radioactive
3299|das|das Wiedersehen|Es war ein emotionales Wiedersehen.|reunion
3301|das|das Datum|Das Datum auf dem Dokument ist falsch.|date
3302|der|der Kellner|Der Kellner bringt das Essen zur Bestellung.|waiter, waitress
3304|verb|unterbringen, bringt unter, brachte unter, hat untergebracht|Wir müssen die Gäste unterbringen.|to put (up), accommodate
3305|verb|vermögen, vermag, vermochte, hat vermocht|Er vermag es zu tun, obwohl es schwierig ist.|to be capable
3306|adj|fröhlich|Er ist immer fröhlich, egal was passiert.|cheerful
3315|die|die Route|Die Route für die Wanderung ist geplant.|route
3319|die|die Bundeswehr|Die Bundeswehr ist stark, aber umstritten.|Armed Forces
3321|adj|mechanisch|Das Gerät arbeitet mechanisch, ohne Elektronik.|mechanical
3336|das|das Polnisch|Polnisch ist eine schöne Sprache.|Polish
3344|das|das Norwegen|Norwegen ist schön.|Norway
3360|adj|indisch|Sie trägt ein traditionell indisches Kleid.|Indian
3361|das|das Hindi|Viele Menschen in Indien sprechen Hindi.|Indian language
3364|die|die Einsicht|Das ist meine Einsicht in die Situation.|view, insight
3365|das|das Fräulein|Das Fräulein wurde höflich angesprochen.|young lady, miss
3378|interj|tja|Tja, so ist das Leben.|well
3411|die|die Reihenfolge|Die Reihenfolge der Schritte ist wichtig.|order
3421|die|die Begeisterung|Ihre Begeisterung für das Projekt ist ansteckend.|enthusiasm
3422|adj|fix|Das Problem wurde fix gelöst.|quick, fixed
3430|das|das Asien|Asien ist vielfältig, mit vielen Kulturen und Sprachen.|Asia
3431|verb|einlassen, lässt ein, ließ ein, hat eingelassen|Er lässt ihn ins Haus ein.|to let in, get involved
3434|die|die Abschreibung|Die Abschreibung für das Gebäude ist hoch.|deduction, depreciation
3436|adj|ästhetisch|Das Gebäude ist ästhetisch ansprechend.|aesthetic
3437|verb|einschalten, schaltet ein, schaltete ein, hat eingeschaltet|Er schaltet das Licht im Flur ein.|to switch on
3441|verb|übergeben, übergibt, übergab, hat übergeben|Er übergibt das Paket an den Empfänger.|to hand over, transfer
3443|verb|buchen|Wir buchen das Hotel für unseren Urlaub.|to book
3466|das|der Schild|Das Schild an der Tür ist groß.|sign, shield, tag
3467|die|die Show|Die Show im Fernsehen war fantastisch.|show
3475|der|der Teufel|Der Teufel in der Geschichte ist böse.|devil
3502|prep|inklusive|Das Paket ist inklusive Steuern und Versand.|including
3505|verb|zustehen, steht zu, stand zu, hat zugestanden|Das Recht auf Bildung steht dir zu.|to be entitled
3518|der|der Premierminister|Der Premierminister spricht im Fernsehen.|prime minister
3522|der|der Christ|Der Christ betet in der Kirche.|Christian
3523|interj|hi|Hi, wie geht’s?|hi
3528|die|die Haustür|Die Haustür ist offen, weil wir Besuch erwarten.|front door
3532|verb|locken, lockt, lockte, hat gelockt|Das Angebot lockt viele Kunden mit Rabatten.|to lure, tempt
3535|prep|samt|Er kam samt Familie zur Feier.|together with, along with
3543|die|die Vorsicht|Vorsicht ist geboten, wenn man die Straße überquert.|caution
3545|der|der Bezirk|Der Bezirk in der Stadt ist groß.|district
3546|der|der Bogen|Der Bogen ist gut gebogen.|bow, arc, sheet
3547|die|die Entdeckung|Die Entdeckung des neuen Planeten war spannend.|discovery
3548|die (pl)||Die Ferien sind vorbei.|school break, vacation
3549|der|der General|Der General gibt seinen Soldaten Befehle.|general
3551|verb|scheiden, scheidet, schied, hat geschieden|Sie haben sich nach zehn Jahren Ehe scheiden lassen.|to separate, divorce
3556|verb|beibringen, bringt bei, brachte bei, hat beigebracht|Er bringt den Kindern Englisch bei, indem er Spiele nutzt.|to teach
3557|verb|bevorstehen, steht bevor, stand bevor, hat bevorgestanden|Eine Prüfung steht bevor.|to lie ahead, be imminent
3561|adv|hinterher|Er kam hinterher und erklärte sich.|after, afterwards
3569|adj|reell|Die Gefahr ist reell, auch wenn sie gering erscheint.|real
3570|verb|reiten, reitet, ritt, ist geritten|Er reitet gerne durch den Wald.|to ride
3574|das|das Kloster|Das Kloster ist alt und historisch bedeutend.|monastery, convent
3582|der|der Grieche|Der Grieche lebt hier und arbeitet als Lehrer.|Greek
3584|verb|konfrontieren, konfrontiert, konfrontierte, hat konfrontiert|Er wurde mit harten Vorwürfen konfrontiert.|to confront
3585|der|der Sex|In dem Vortrag ging es um Sex und Gesundheit.|sex
3594|der|der Bär|Der Bär im Zoo ist groß.|bear
3595|adv|hinzu|Er kam zur Gruppe hinzu.|in addition
3597|das|das Menschenrecht|Das Menschenrecht auf Freiheit ist wichtig.|human right
3600|der|der Wahnsinn|Der Wahnsinn der Situation macht mich sprachlos.|madness, insanity, lunacy
3603|der|der Sieger|Der Sieger des Wettbewerbs ist bekannt.|winner
3606|verb|anfühlen, fühlt an, fühlte an, hat angefühlt|Das Kissen fühlt sich weich an.|to feel
3607|adj|düster|Der Himmel ist düster und voller Regenwolken.|gloomy
3609|der|der Kompromiss|Der Kompromiss in den Verhandlungen war nötig.|compromise
3613|der|der Vorhang|Der Vorhang ist zugezogen, um das Licht abzuhalten.|curtain
3620|verb|vorbeigehen, geht vorbei, ging vorbei, ist vorbeigegangen|Er ging am Haus seiner Kindheit vorbei.|to go past, pass
3624|das|das Maximum|Das ist das Maximum, das wir erreichen können.|maximum
3626|adv|oftmals|Er kommt oftmals zu spät.|frequently
3631|verb|bergen, birgt, barg, hat geborgen|Er birgt das Geheimnis seines Erfolgs.|to rescue, hide
3633|der|der Nebel|Der Nebel am Morgen ist dicht.|fog
3634|der|der Terroranschlag|Der Terroranschlag auf die Stadt war verheerend.|terrorist attack
3642|adj|hässlich|Das Bild von der Landschaft ist hässlich.|ugly
3648|verb|zurücktreten, tritt zurück, trat zurück, ist zurückgetreten|Der Minister tritt wegen eines Skandals zurück.|to step back, resign
3650|verb|einschlagen, schlägt ein, schlug ein, hat eingeschlagen|Er schlug den Nagel in die Wand ein.|to hammer in, smash, take
3653|adj|akademisch|Die akademische Arbeit wurde veröffentlicht.|academic
3654|adj|aufwendig|Das Kleid war aufwendig gestaltet.|extravagant, costly
3662|verb|hocken, hockt, hockte, hat gehockt|Er hockt im Garten und beobachtet die Vögel.|to squat, crouch
3663|das|das Informationssystem|Das Informationssystem ist modern und effizient.|information system
3664|adj|liberal|Die Partei ist politisch liberal.|liberal
3665|adj|musikalisch|Die Band ist musikalisch talentiert, besonders im Gesang.|musical
3667|die|die Provinz|Die Provinz in Italien ist klein und ruhig.|province
3668|die|die Trauer|Die Trauer nach dem Verlust war groß.|grief
3672|das|das Sofa|Das Sofa im Wohnzimmer ist bequem.|sofa, couch
3676|das|das Huhn|Das Huhn legt jeden Tag Eier.|hen, chicken
3684|verb|ausweichen, weicht aus, wich aus, ist ausgewichen|Das Auto wich dem Hindernis auf der Straße aus.|to make way, evade, avoid
3685|das|das Paket|Das Paket ist angekommen und steht im Flur.|parcel, package
3686|verb|putzen, putzt, putzte, hat geputzt|Er putzt die Fenster, um sie sauber zu halten.|to clean
3692|verb|erregen, erregt, erregte, hat erregt|Das Geräusch erregte die Aufmerksamkeit der Gäste.|to arouse, attract, excite
3698|adj|operativ|Die operativen Maßnahmen waren erfolgreich.|operative
3705|das|das Belgien|Belgien ist ein schönes Land.|Belgium
3706|die|die Einleitung|Die Einleitung des Romans ist spannend.|introduction
3709|das|das Möbel|Das Möbel ist antik.|(piece of) furniture
3711|adj|restlich|Die restlichen Gäste sind nun angekommen.|remaining
3713|verb|täuschen, täuscht, täuschte, hat getäuscht|Er täuschte sich in der Annahme.|to deceive, be mistaken
3716|die|die Architektur|Die Architektur ist faszinierend.|architecture
3717|die|die Biologie|Die Biologie ist interessant.|biology
3719|adv|irgend|Er fragt irgendjemanden nach dem Weg.|some
3720|der|der Kreislauf|Der Kreislauf des Blutes ist stabil.|circulation
3728|verb|weichen, weicht, wich, ist gewichen|Das Brot weicht in der Suppe.|to soak, give way, yield
3729|adj|akut|Der Schmerz ist akut und unerträglich.|acute, urgent
3730|das|das Album|Das neue Musikalbum ist erschienen.|album
3732|die|die Justiz|Die Justiz arbeitet hart an der Aufklärung des Falls.|judiciary
3733|verb|zusammenkommen, kommt zusammen, kam zusammen, ist zusammengekommen|Die Freunde kommen zum Feiern zusammen.|to meet, come together
3736|der|der Flügel|Der Vogel hat sich einen Flügel gebrochen.|wing
3737|der|der Teppich|Der handgeknüpfte Teppich ist teuer.|carpet
3739|verb|werten, wertet, wertete, hat gewertet|Das Buch wurde positiv bewertet.|to rate, judge
3742|das|das Ägypten|Ägypten hat eine reiche Geschichte.|Egypt
3747|verb|tauschen, tauscht, tauschte, hat getauscht|Sie tauschten die Plätze.|to exchange, change, swap, switch
3755|verb|weggehen, geht weg, ging weg, ist weggegangen|Er ist in die Stadt weggegangen.|to leave, go away
3758|adj|israelisch|Das israelische Produkt ist hochwertig.|Israeli
3759|der|der Nachweis|Der wissenschaftliche Nachweis ist erbracht.|proof, evidence, certificate
3764|verb|kippen, kippt, kippte, hat gekippt|Der Stuhl kippte plötzlich um.|to tilt, overbalance
3773|das|das Schaf|Das weiße Schaf grast auf der Wiese.|sheep
3782|das|das Adjektiv|Das Adjektiv in diesem Satz ist klar.|adjective
3797|das|das Schema|Das Schema für die Datenbank ist komplex.|scheme
3802|adj|reichlich|Das reichliche Essen reicht für alle.|plenty, generous
3811|die|die Innenstadt|Die Innenstadt von Berlin ist belebt.|town center, downtown
3814|verb|siegen, siegt, siegte, hat gesiegt|Das Team siegt regelmäßig.|to win, triumph
3815|die|die Stichprobe|Die Stichprobe der Umfrage war klein.|sample
3831|verb|zutrauen, traut zu, traute zu, hat zugetraut|Er traut es sich zu, das Projekt zu leiten.|to dare to do sth
3834|adj|bescheiden|Er ist bescheiden, obwohl er viel erreicht hat.|modest
3835|verb|entfallen, entfällt, entfiel, ist entfallen|Der Termin entfällt heute wegen Krankheit.|to slip (sb’s mind), be dropped
3841|num|achtzehn|Die Schülerin ist achtzehn Jahre alt.|eighteen
3842|das|das Chaos|Das Chaos im Büro ist komplett.|chaos
3843|die|die Krone|Die Krone des Königs ist aus Gold.|crown
3846|der|der Schluck|Er trank einen großen Schluck Wasser.|sip
3851|verb|aufreißen, reißt auf, riss auf, hat aufgerissen|Er reißt den Brief schnell auf.|to tear open
3853|verb|hinzukommen, kommt hinzu, kam hinzu, ist hinzugekommen|Ein weiteres Problem kam hinzu.|to be added, join
3854|adj|prinzipiell|Das prinzipielle Problem wurde gelöst.|in principle
3858|verb|vernachlässigen, vernachlässigt, vernachlässigte, hat vernachlässigt|Er vernachlässigt seine Arbeit, was zu Fehlern führt.|to neglect
3864|das|das Hessisch|Er versteht den hessischen Dialekt, spricht ihn aber nicht.|Hessian
3871|adj|detailliert|Der Bericht über das Projekt ist detailliert.|detailed
3878|verb|erhoffen, erhofft, erhoffte, hat erhofft|Wir erhoffen uns Erfolg bei dem neuen Projekt.|to expect, hope for
3882|das|das Gemälde|Das Gemälde ist schön, weil es lebendige Farben hat.|painting
3884|verb|heranziehen, zieht heran, zog heran, hat herangezogen|Der Lehrer wird für den Unterricht herangezogen.|to consult, draw near
3891|verb|annähern, nähert an, näherte an, hat angenähert|Der Zug nähert sich dem Bahnhof.|to approach
3896|verb|umsehen, sieht um, sah um, hat umgesehen|Er sieht sich im Raum um.|to look (around)
3898|verb|abziehen, zieht ab, zog ab, hat abgezogen|Der Abzug der Truppen ist abgeschlossen.|to take off, withdraw, subtract
3900|die|die Niederlande|Die Niederlande sind kulturell vielfältig.|the Netherlands
3901|verb|schwanken, schwankt, schwankte, ist geschwankt|Die Lebensmittelpreise schwanken stark.|to vary
3904|die|die Wahlperiode|Die Wahlperiode für den Bundestag dauert vier Jahre.|term
3913|adj|jetzig|Die jetzige Lage in der Firma ist schwierig.|current
3920|adj|außerordentlich|Das Ergebnis der Prüfung war außerordentlich gut.|extraordinary
3924|der|der Republikaner|Der Republikaner gewann die Präsidentschaftswahl.|Republican
3928|verb|anfallen, fällt an, fiel an, hat angefallen|Die Kosten für die Wartung fallen monatlich an.|to attack, accumulate
3931|adv|daheim|Ich bin daheim geblieben, weil ich krank bin.|at home
3941|verb|zulegen, legt zu, legte zu, hat zugelegt|Er hat wegen mangelnder Bewegung Gewicht zugelegt.|to gain, put on
3943|verb|auseinandersetzen, setzt auseinander, setzte auseinander, hat auseinandergesetzt|Er setzte sich intensiv mit dem Problem auseinander.|to deal with
3944|verb|bestrafen, bestraft, bestrafte, hat bestraft|Er wurde streng für sein Verhalten bestraft.|to punish
3952|der|der Eigentümer|Der Eigentümer verkauft sein Haus.|owner
3961|die|die Akte|Die Akte des Falls ist geschlossen.|file
3972|verb|überziehen, zieht über, zog über, hat überzogen|Er hat das Konto überzogen und muss jetzt Zinsen zahlen.|to cover, put on, overdraw
3975|der|der Spanier|Der Spanier spricht sehr schnell.|Spaniard
3976|das|das Zeitalter|Das Zeitalter der Technik hat viele Veränderungen gebracht.|age, period
3980|der|der Jurist|Der Jurist gab rechtlichen Rat.|jurist, lawyer
3985|der|der Rücktritt|Der Rücktritt des Ministers kam überraschend.|resignation, withdrawal
3986|die|die Schätzung|Die Schätzung der Kosten war korrekt.|estimate, estimation
3989|der|der Marktanteil|Der Marktanteil von Elektroautos ist gestiegen.|market share
3997|das|das Substrat|Das Substrat ist wichtig für das Wachstum der Pflanzen.|substrate
4031|die (pl)||Meine Geschwister sind nett.|siblings
4036|interj|au|Au, das tut weh!|ouch
4038|verb|beauftragen, beauftragt, beauftragte, hat beauftragt|Er wurde beauftragt, den Bericht zu schreiben.|to give sb the task of doing sth, hire (a firm)
4046|verb|scheißen, scheißt, schiss, hat geschissen|Der Hund hat im Garten gescheißt.|to shit, crap
4057|der|der Arsch|Er fiel auf den Arsch.|ass, behind
4063|adj|schwul|Er ist schwul und lebt offen mit seinem Partner.|gay
4121|adj|Kölner|Der Kölner Dom ist berühmt.|Cologne
4122|der|der Pariser|Der Pariser Bäcker ist bekannt.|Parisian, condom
4129|adj|bar|Ich bezahle die Rechnung lieber bar.|cash
4130|das|das Business|Das Business floriert.|business
4156|adv|lauter|Er hat lauter Fehler im Diktat.|nothing but, just, a lot of
4170|die (pl)||Die Taliban kontrollieren das Gebiet.|Taliban
4172|adj|ehrenamtlich|Die Arbeit im Verein ist ehrenamtlich.|honorary, voluntary
4201|die (pl)||Die Alpen sind majestätisch.|Alps
4209|adj|regelrecht|Das war regelrecht absurd.|proper, real
4210|verb|verankern, verankert, verankerte, hat verankert|Das Gesetz wurde im Grundgesetz verankert.|to anchor, enshrine
4211|der|der Zähler|Der Stromzähler ist kaputt.|counter, meter, numerator
4215|das|das Orchester|Das Orchester spielt gut.|orchestra
4216|adj|regulär|Der reguläre Plan wird befolgt.|regular, normal
4218|adj|ukrainisch|Das ukrainische Essen ist sehr würzig.|Ukrainian
4219|verb|unterdrücken, unterdrückt, unterdrückte, hat unterdrückt|Der Diktator unterdrückt das Volk brutal.|to suppress
4223|prep|einschließlich|Der Preis beträgt 50 Euro, einschließlich Steuern.|including
4224|das|das Glied|Das schmerzende Glied wurde untersucht.|limb, joint, link
4231|adv|abschließend|Abschließend möchte ich sagen, dass wir erfolgreich waren.|concluding, final
4236|adj|örtlich|Die Hilfe war örtlich begrenzt.|local
4243|adj|afrikanisch|Das afrikanische Essen ist würzig.|African
4247|die|die Moral|Die Moral der Geschichte ist klar.|moral
4256|adj|fachlich|Der Bericht ist fachlich fundiert.|specialist, technical, professional
4260|verb|spezialisieren, spezialisiert, spezialisierte, hat spezialisiert|Er spezialisiert sich auf Medizin.|to specialize
4273|adv|binnen|Binnen einer Woche erhalten Sie eine Antwort.|within
4274|adj|einstig|Sein einstiger Freund hat sich verändert.|former
4280|adj|obig|Das obige Beispiel zeigt den Fehler.|above
4296|verb|ausstehen, steht aus, stand aus, hat ausgestanden|Ich kann dieses Verhalten nicht ausstehen.|to stand, bear, be pending
4344|verb|abspielen, spielt ab, spielte ab, hat abgespielt|Er spielt das Lied ab.|to play
4364|interj|öh|Öh, was meinst du?|uh
4400|der|der Idiot|Er handelt wie ein Idiot.|idiot
4413|verb|fügen (sich), fügt, fügte, hat gefügt|Sie fügte sich ihrem Schicksal widerwillig.|to comply, defer to, resign oneself to
4435|interj|mmh|Mmh, das schmeckt gut.|mmh
4461|die|die News|Die News sind spannend.|news
4467|adj|unbewusst|Er war sich unbewusst der Gefahr.|unconscious
4469|adj|voraussichtlich|Das Ergebnis ist voraussichtlich positiv.|probable, presumable
4500|die|die Algebra|Die Algebra ist schwierig.|algebra
4506|adv|soeben|Ich habe den Unfall soeben gesehen.|just
4507|die|die Sportart|Die Sportart ist Fußball.|(type of) sport, discipline
4514|das|das Hindernis|Das Hindernis auf der Strecke ist groß.|obstacle
4528|prep|seitens|Seitens des Unternehmens wurden Maßnahmen ergriffen.|by, on the part of
4549|das|das Diagramm|Das Diagramm vergleicht die beiden Produkte.|diagram
4561|adj|derzeitig|Die derzeitige Lage ist kompliziert.|current
4576|prep|anstelle|Anstelle von Wasser gab es Saft.|instead of
4611|adj|fließend|Er spricht fließend Englisch und Spanisch.|fluent, fluid, flowing
4619|verb|läuten, läutet, läutete, hat geläutet|Die Glocke läutet feierlich in der Kirche.|to ring, toll
4679|adv|nirgends|Er wohnt nirgends, er ist obdachlos.|nowhere
4708|das|das Studio|Das Aufnahmestudio ist modern.|studio
4720|prep|willen|Er tat es des Friedens willen.|for the sake of
4721|der|der Atomkern|Der Atomkern eines Wasserstoffatoms ist klein.|(atomic) nucleus
4749|das|das Nordkorea|Nordkorea ist isoliert.|North Korea
4788|adj|optimistisch|Sie ist optimistisch in Bezug auf die Zukunft.|optimistic
4822|die|die Drohung|Die Drohung gegen ihn war ernst gemeint.|threat
4835|der|der Demonstrant|Der Demonstrant wurde bei der Kundgebung festgenommen.|demonstrator
4875|verb|einbinden, bindet ein, band ein, hat eingebunden|Sie binden das Projekt in den Plan ein.|to involve, integrate
4910|die|die Jungfrau|Sie ist eine Jungfrau im Sternzeichen.|virgin
4943|verb|verstoßen, verstößt, verstieß, hat verstoßen|Er hat gegen das Gesetz verstoßen.|to repudiate, trespass, break (the law)
4991|adj|zulässig|Das Verhalten ist nicht zulässig.|permitted, permissible, acceptable
5032|verb|langweilen, langweilt, langweilte, hat gelangweilt|Das Buch langweilte mich nach den ersten Kapiteln.|to bore
5048|das|das Attentat|Das Attentat auf den Politiker war schockierend.|assassination
5066|adj|fürchterlich|Das war eine fürchterliche Nacht wegen des Sturms.|terrible
5067|adj|norwegisch|Die norwegischen Fjorde sind wunderschön.|Norwegian
5077|der, die|die Delegierte|Eine Delegierte stellte Fragen.|delegate
5100|die|die Fassung|Die neue Fassung des Gesetzes ist fertig.|version, composure, socket
